user_name,user_loc,comment_text
Cottage Cat, Colchester,Kate's in it for the least output and maximum return. As are her family 
Aphrodite4574, Midlands,"Dont talk so much rubbish, theres still enough Royals to perform the roles."
DemocracyRules, TheLandOfMilkAndHoney,No reason to think we need The Harkles back!
Yeeeaaahhh, Earth,Be lovely if the Princess of Wales had another baby....
Enigma, South Shields,Bringing up small children ties them quite a bit as they want to be more hands on than the late Queen of Charles.  Bringing in another  baby ties them even longer.   It is a pity they did not marry and start a family a little earlier.
jpc001, Essex,"By the time he takes the throne, it will be a very different Britain anyway"
Loftboy, Brisbane,"Why is ""BURNT-OUT"" in CAPITALS?"
twinkletoes, perth,"I said that the other day, that the majority  of them will be in nursing  homes in the next 5-10 years. It will just leave a working Royal family of 6. Cause George will be to young. There will be nobody left to help Charles  if he lives as long as his parents  never mind William  or George."
Artemis Fowle, Edinburgh,The generations below 65 have no interest in anything other than their personal lives and paycheques. 
Dev971, Notts,"Yeah, they should be interested in a couple of geriatric adulterers. How dare they not be."
anne, sheffield,Do all those ribbons really need to be cut? Hospitals open well without a minor royal saying it's now open.  Still unsure why Edward and all the letters after his name and all those unearned  medals  was asked to open the brilliant Ashgate Hospice.  I very much doubt he offered to help you n the kitchens or take the meals round.
Dev971, Notts,The public just paid tens of millions for a billionaire to have a party to celebrate his supposed supremacy over the public. Truth is stranger than fiction.
piscesmoonchild, Oldham,the public just paid for the Coronation of the head of state which hasn't happened for 70 years.  Barrack Obama's inauguration cost $170 million dollars in 2009 alone
Dev971, Notts,"Barack Obama happened to be the president of the richest country in the world. In this country we have serious cost of living crisis and strikes galore because people are not being paid a living wage. It's all about perspective and circumstances dear. The Queen understood this, greedy selfish Charlie does not."
John_Watson, New Hampshire,"There may not be a monarchy by the time George's turn comes around. And while I am not necessarily a republican, a feudal anachronism like this serves no useful purpose in the British Isles or elsewhere."
Bearly Eagle, Bedrock,"The no shortage of royals to do work, only a shortage of "" work"" for royals to do. Unless you count unveiling and waving as work."
pixi50, Murcia,I don't think the monarchy will still be there by the time George becomes of king.
Bearly Eagle, Bedrock,Let's hope
Dev971, Notts,I hope so too. Leaches on the public purse.
Sweet Suzy, DC,"The family seems to have worked this out with the larger foundations - starting with Philip's Duke of Edinburgh Awards. And in any case, the Wales were not late so stop telling that lie."
Only Sycophants, Are Published,"Well something went very wrong Suzy! The Wales were supposed to access from the West Gate (side entrance) and be seated after all the other VIPs were seated and only Camilla and Charles were supposed to enter from the grand West Door, Charles being last as he is the King and it's his Coronation.  It means William and Catherine were sharing his choral acclaim  - think of it like the mother in law following the bride down the aisle."
Cottage Cat, Colchester,"Only Sycophants, exactly. Kate hates being outshone, even by the King. She is addicted to the limelight and has done it many times before. This was no accident."
Willis , Willis,Ol' mate on the left end looks like he's sh. Hit his pants.
Artemis Fowle, Edinburgh,He's 89 and still turning up to support the monarchy.  How will you be doing at  89?
None so wise, England,Couldn't they have an equal number of republicans volunteer to attend the events for food and champagne and then compare the value added at the end of a year.
Dev971, Notts,Charlie just inherited over 650 million pounds. He did not pay a penny in inheritance tax on this. I'm sure he can afford all the help required.
Artemis Fowle, Edinburgh,You can't buy members of a family.
Dev971, Notts,"He doesn't need to, he already has a family."
None so wise, England,"Just imagine being paid millions to attend functions, that would carry on just as well if you weren't there?"
Artemis Fowle, Edinburgh,He's funded by the country to represent them and bring some impartial gravitas to functions. It would be very different if all you call on would be the cast of Eastenders.
None so wise, England,Can't they recruit volunteers to be chauffeured to their next glass of champagne? 
Dom Diddy Dom, London,They need to get Harry and Princess Meghan on board they're the only royals the public care about.
twinkletoes, perth,George might want to do to them what William  did to his. I'm sure the press will happily  going after prince Louis going by some of the recent headlines in them.
Englishlovee, Groton,"No thats not happening. And no, they have been called out as liers and greedy world wide"
lizabella, Los Angeles,"Very good points. At last someone is addressing this. Princess Alexandra has been retired for years, so there are only 9 working royals next to C&C in the photo.  Even more pressing - who will be there to support the Waleses when the older generation is no longer there? In ten years, their children will only be 19, 18, and 15. W&C will have to enlist their cousins, or there will only be a few people to handle the over 3,000 patronages."
None so wise, England,"Why what value do they actually add, I'd suggest none it's all just pretend work to justify their millions of taxpayers cash."
None so wise, England,"When the people over 65 unfortunately pass on, so too will support for the Monarchy."
Robin2000, The Emerald City,"I think Princess Beatrice should have a role, if she wants it. She seems lovely and has never put a foot wrong. It's completely unfair to disqualify her because of her awful parents - quite the opposite in fact, as she seems to have turned out very well in the face of huge family difficulties. All of this applies equally to Eugenie,  but I'm not sure if she would want the role given her loyalty to the Sussexes. But if so, I think Beatrice and Eugenie would be wonderful working royals. They seem so mature and well-behaved. And they were born princesses - what more could you want!"
ToriesRFinito, Red Wall,Only the Mail are buying this slimmed down monarchy nonsense. This family will never stop grifting.
Fernie, Dunblane,"""noone left to help..."" Help to do what exactly?"
Dev971, Notts,The RF have a plan to deal with this... simply send Camilla to all engagements.  The requests will soon stop (except to Halloween parties)
Socalgal64, San Diego,Haha!
Dev971, Notts,"They will have to get more servants employed in, to iron Charlie's shoelaces everyday"
Dev971, Notts,They should all do what Camilla does. Everytime she gets a tedious assignment she gets Covid and goes into hibernation.
Gary, Stoke,"Whether in the future it is a large or small ""working"" monarchy, it will be largely irrelevant. By the time Charles goes (if he has another 20 in him) all those teenagers and early 20 somethings of today who will be going into middle age as tax payers having had predominantly zero interest in monarchy all their lives, will be asking some petty searching questions as to what relevance or purpose do these people actually serve? My 'boomer' generation who are their core remaining 'fan' base will be all but gone and then who will they have left in favour of continuance? Whilst people tend to be more conservative with age, they do not become more deferential; indeed quite the reverse. It is all on borrowed time now QE2 is no more and no matter how much juggling Charles does."
Gary, Stoke,"Dev- Yes, it's a shame he didn't pay for it out of his Inheritance Tax bill he 'divinely' avoided and it would have still left him 150M up on the deal that you or I would have got. Xname - Agree. Youngsters today (who will be those I speak of in the future) follow the cult of celebrity and not monarchy and as much as some of my generation may sneer at that, they do so by CHOICE and not because someone starting at school tells them they are obliged to 'respect' and revere them as 'special people' or even in Charles' case, 'divine'."
michaela4m, trenton,"I agree.  All this monarchy nonsense has got to go.  Carriage rides, crowns, tiaras, ribbon cutting.  It's all so ridiculous."
shadowtoo, Lansdale,"there's a major flaw in this as you say 'excluding Wales and Edinburgh, well that cuts out the 4 people who will help george- his 2 siblings and 2 cousins all on his level. by leaving them out you're article becomes meaning less. It's like writing 'there's nothing to stop the north koreans from taking the whole peninsula, so long as you don't mention the US and south Korean armies. "
toriat, Wheaton,What makes you think Charlotte and Louis will want that kind of life? There is no guarantee.
Dev971, Notts,Charlie will have to get more in to help carry the carrier bags of cash gifted from dodgy sheiks.
Batter, London,I ve always liked Princess Beatrice and as the eldest daughter of a Duke I feel she would really contribute to a role in royal life I believe shes also close to the King too
mammadub, nj,"Still remembering the attention grab at the William's wedding.  Did someone make her wear that hat?  And if so, who?"
Gary, Stoke,"And what life experiences could she share with 'the little people' on her walkabouts pray tell other than discussing her memoirs of hedonism, parties, luxury holidays and 'jobs' allowing her 9 months a year staff absence to pursue all those things mentioned ..?"
TonyTCClark, Herts,End the monarchy and it's job done!!
Lee Dunn, Glasgow,why do any of them need help?  They dont do anything!!
WanderingSadie, Northeast,they keep DM in business
Dev971, Notts,This is what I don't understand. They have virtually unlimited funds and resources. What do they actually DO with all that???? Why is it never reported on. Is it just opening places and making visits???
Dunno mate, Eastbourne,"""To date, the Waleses appear to have approached their increased workload with dedication and ease""... Workload? Sorry. You've lost me there. "
Pat57, Exeter,The initial aim of the Civil War wasn't to remove the King but to force him to accept the supremacy of Parliament. For various reasons the side that won decided to abolish the monarchy and execute him. In order to do this they used the army to prevent MPs who were opposed to the abolition from entering Parliament and voting against it. As with the French and Russian revolutions no one asked the people what they wanted.
Gary, Stoke,Pat57 - I think joining the ranks of the Parliamentarian Army to rid the country of absolute monarchy and subjective (then) tyranny rather than join the Royalist ranks was an effective vote or choice by 'the people' involved and risking their lives don't you think and irrespective of how you present it...? Who was 'forced against their wishes' to storm the Bastille or the Winter Palace as well...?
hunkeydorey, London,"I'm still absolutely FUMING that Harry and Meghan were cynically edited out of the Royal Coronation group photograph. It's blatant discrimination, pure and simple."
Only Sycophants, Are Published,Shooting fish in a barrel. 
disgusted_of, Hull,Don't say that you are fuming and spoil the Coronation for Charles.
Dev971, Notts,"I would bet that Camillas children are actually Charlie's children. They were having an affair with each other throughout their marriages. AP Bowles was obviously just their wingman (he was invited to the coronation). Don't be surprised when Charlie starts dishing out titles, lordships etc etc to all his real ""family"" soon. I'm sure they will all help out. They already did at the coronation."
Commonsence Norfolk, Kings lynn,Do you mean in the same way a lot of people dont believe Harry is Charles son? (Which would explain his behaviour) But as the King accepted him and stood by him from the start others have had to accept his decision.
Dev971, Notts,I can see Charlie in them too. He was certainly in Camilla enough during the time they were both married to other people (remember t*mp*x gate)
hognog, Birmingham,FGS George is only 9 years old - things may look very different when he becomes king - William has yet to become king - hopefully not for another 20 years or so.
XnameX, Little Britain,"Yes, things may indeed, William is the last king to have a coronation and when it is George's turn, tje role of RF has significantl diminished and George won't have to worry about the whole thing"
disgusted_of, Hull,"The Prince and Princess of. Wales may even have more children.
"
Kevin, Rhyl,Name another job where you have to employ people now to make sure your employees Grandson doesnt have to work to hard when he gets the job  !!!! Shows the pure insanity of having a Hereditary Monarchy .
Cristabell, Nottingham,Name another job where you work on the world stage til you die
Kevin, Rhyl,"Shouldnt that read work part time with hours you pick for yourself   ?? And lets be honest King Charles is 74 in years to come that will be the average retirement age the way things are going after working in a proper full time job since leaving school, I know which job I would pick if given the chance ."
md56, UK,He has siblings and no doubt they will have families. George will not be on his own!
Milly, Hampshire,Williams sibling is no help so it's not a given
XnameX, Little Britain,"Didn't DM just tell us that Waleses bring Charlotte and Louis up thinking that they will have to work for their living, meaning not as ""working royals"" but have a proper profession? "
Allsenseisgone, Somewhere,It's SOMEWHAT a shame (I know - I know - not everyone will agree) that Bea and Euge have been placed in the chiller.  They are loyal to the crown and could help out a lot.  But their dad sort of ruined THAT for them.   And M just plain ruined a lot as well.  Always having to be mindful of her lurking in the background and so you have a lot of hand wringing as a result.  If only.....
Fernie, Dunblane,"What does "" loyal to the crown "" mean?"
Pat57, Exeter,I think its more a case of their non-existent 'careers' and their habit of going on frequent holidays that ruined it for them
Edknowall, Guildford,Does it mean the tax payers is will save money then?
Carole Anne Troops, Grntham,"The duke and Duchess of Edinburgh have two fine children, I'm sure they will do their duty just as their parents do.
"
USA11, Miami,"King needs to make it worth their while. Slippery slope towards entitlement, but the Wessex children and Zara have proper attitudes."
WarandPeace, Toronto,"Look, these chumps live a life of luxury from birth but all we hear are complaints about how 'hard' they have to work. Clearly are tone deaf when you think of the public - their subjects - who pay to have them prance around in fine clothing - who have to work hard all their lives and may not have much of a pension to live off after that. Spare me the tears"
Galla Placidia, Atlanta,It does seem that the Wales and the Cambridges may have to bear a heavier burden given the ages of the others.  Perhaps Beatrice should be considered as a possibility. Not sure about Eugenie and her loyalty.
Fernie, Dunblane,Get a life!
Dev971, Notts,"@fernie... you can't ""get a life"" Fernie. You are life, just like me, you and everyone else."
Daniel_Butcher_666, London,"Okay, so he has a brother and a sister.  By the time he takes the throne, he will be married with his own children and will have nephews and nieces.  Failing that his great-uncles and aunt have families - so there's a big pool to draw from (without going anywhere near his uncle and that awful actress)"
jontty, Anyways ,Charles is a fool. The crown should gave passed him over. Imbecile 
Stanley Bunfluff, Manchester,Whoever wrote this doesn't understand history or the monarchy. She should go back to school.
Kevin, Rhyl,"Hey thats no way to talk about a DM Royal Expert , now if she was writing an article based purely on speculation slagging off Harry and Meghan youd be swallowing it hook line and sinker  ."
Thought_, Shannon,No idea who the writer if this article is...but clearly she isn't that bright.
Cooper, Cambridge,"What rot. Families grow, marriages are made and children born. If ALL the people currently described as ""Royal Family"" are retained as such, before long there will be so many, they'd fill Westminster Cathedral on their own. There has to be a ""slimming down"" every so often. At least we don't have the historical methods (usually involving blood and burials) any more."
Pat57, Exeter,George V started the slimming down in 1917 when he took the sensible step of limiting the titles of Prince and Princess to the grandchildren of a monarch. You only have to look at other Royal Family trees to see dozens of Princes and Princesses or their equivalent such as Archdukes and Archduchesses - many of whom are the great-grandchildren several times removed of a monarch.
Lolly310, Hampshire,No one left to help George? Surely he'll have his siblings? Even his parents will be getting on if not deceased so who do you suggest helps him?
Calmbfstorm, Lancs,And his cousins sienna augustus and the new baby if they want
michaela4m, trenton,ITS EASY TO DO RIBBON CUTTING / SHOWING UP 1 HOUR A WEEK SOMEWHERE SMILING LIKE A HORSE
hellsbells, london,What a ridiculous article.  
disgusted_of, Hull,click bait
taitm22, Sheffield,"George has a brother and a sister.  And they may all have children by then, who could help too."
Fernie, Dunblane,I'll help!
Freya., Little Britain ,"But what if they don't want to and opt for a life outside of royal duties? The picture consists of an extended family. The BRF will need more working royals even before Prince George ascends the throne. Charles has a 2 siblings, his son , daughter in-law and relatives to add to his mix of a slimmed down monarchy. Don't mean to be rude but most of them are very old.
William has no sibling or cousins in the line up as working royals to be. I foresee the Cambridges needing more working royals to help with appearances before George even starts uni. It's been slimmed down too much!"
Sue, Wiltshire,"Here's an idea. Get rid of the monarchy.
Problem solved."
Cristabell, Nottingham,President Sunak anyone?
michaela4m, trenton,The monarchy seriously has to go.  
normanby1, Middlesbrough,Couldn't care less
disgusted_of, Hull,yet you post on here.
Lizurley, WestEnd,George will have his own family by then as well as help from his siblings and their families. Why focus on something that might never be - a little bit more optimism from the DM wouldnt go amiss!
WarandPeace, Toronto,"Public support for a monarchy will have waned further by the time he's King, so it won't matter. Do you think people who really have to work hard for their entire life, with limited pensions, are really going to worry about all this concern for the Monarchy? They live a life of absolute luxury from birth."
Violet, Peak District,"William could have Louise and James working with him by then, as well as Catherine, Charlotte and Louis. Perhaps the York girls will have proven themselves by then too, although that remains to be seen."
Chester1965, Chester,About time they had to stand on their own two feet just like the rest of us !
Tree lady, Nottingham,"Don,t worry the Middleton,s will be more than happy to help out..."
Dev971, Notts,A gravy train lavishly funded by the public.
Tree lady, Nottingham,All non royals....
Inferior to no one, Scotland,Oh dear never mind. Last one out lock up and put keys through letterbox. Byeee.
Thought_, Shannon,Is that you Kranky?
Inferior to no one, Scotland,No. Is that you Stupid?
Steven - Universe, Nowhere,Many who help now will be long gone by the time George takes over which will leave a burnt-out king.
VaderoTu, London,"Let's be honest, Margaret was also giving it away like free samples back then. "
Surprise2022, Northeast,She married a bisexual after her sister stopped her relationship with the  man she wished to marry.
JuleR, Worcester,"They sound as bad as each other. My Grandma would have said ""They would spoil another couple."" It certainly sounds like they deserved each other. I feel for what their children must have gone through with such appalling behaviour from their parents."
Noodles, Cape Town,Really? Slow news day? None of this is new 
MARYGUNTER, Birmingham,WHY HIM.She disgraced the country for years with her antics
jayemcee, LONDON,"If only she had been allowed to marry Peter Townsend with no restrictions, she would probably have had a happy, successful marriage and a contented and healthy life.  So sad."
Haglet, Cheltenham,"No doubt she would have liked to have kept all the perks, but she valued being fawned over far more than being plain Mrs Townsend, hence her decision. Townsend had a lucky escape."
Earth Mother, north wales,Oh FGS! Real life does not come with no restrictions! She chose not to marry him.
Rogue Roi, Manchester,He batted at both ends of the wicket.
Joy, Up Country Down South,I agree. Can't believe this hasn't been mentioned in the extract so far !!
Good goolie, United Kingdom ,I bet she never knew if she'd be face up or face down.  No woman can deal with that.
Barbara Smegg, East Finchley ,Whoever she married it wouldn't have lasted.
Agnostic nr 1 , No Where ,Didn't the queen forbid her to marry her true love? 
Meg, Penge Sur Mer,No.
Earth Mother, north wales,No. She chose not to
SCossey, England,She wasnt spirited - she was spoilt and indulged excessively.
Surprise2022, Northeast,They all are.
bugs, seattle,She only married him because she wanted to marry before Peter Townsend married someone else.
DavetheSmythe, Indian Heaven,A spare who stayed for privilege and wealth only to become a bitter alcoholic.
Aphrodite4574, Midlands,"Why resurrect this now, its old history, for goodness sake stop reporting on rubbish like this that no one has the slight bit of interest in."
lifescrap77, Stoke on trent,I'm interested. 
Earth Mother, north wales,"Are you not interested in history Aphrodite, especially with a name like yours? Shame that. You might learn something."
SeftonParkExile, London,No mention of Snowden's desire for men?
OhYeahRight, Houston,"Margaret was known notoriously for her wit and sharp tongue.  During a visit to the Met in NY, she was in a receiving line.  When one lady asked, ""How is the Queen?,"" Without missing a beat, Margaret answered, ""Of whom are you inquiring,? My sister,? My mother,? Or my husband.?""  True story."
Bablob, London,And pop z
Joe 90, Shrewsbury,History tells us that the majority of the royals were serial philanderers.
Box56, Bolton,Not just the royals but most of the upper class. Apparently it was acceptable behaviour!
Robert, London,Even the working classes are known to be at it.
Joe 90, Shrewsbury,Something about a second hand dart board comes to mind
UK is a Cesspit, Benidorm,Their lives funded by the taxpayer!
Tony Lee Deaf, Some Nasty Suburb Somewhere,Sleazy.
rivet, Atlanta,"I remember that wedding, I was a child and so excited about it. But the  trouble is Princess Margaret knew what he was before she married him. Probably thought that because he would now be living a high-profile life he would go easy with his normal lifestyle of anything goes in the sex department. But he didn't."
bugs, seattle,She was more afraid of being embarrassed by Peter Townsend getting married to someone else.  She could have married him - she didn't want to give up the perks of royal life.
Damico, Cheltenham,Why this article about princesses Margaret?  I wish the DM would leave the dead alone. 
HerInDoors, Sussex,"Another 'spare' who needed a defined role, and who went off the rails because they didn't fit in anywhere.
I really hope meaningful roles and a purpose in life are found for Charlotte and Louis."
Jinine Carla, Brisbane,She had a bad marriage to a selfish cad. Bit like harry 
Haglet, Cheltenham,"Im sure that. Charlotte and Louis will do far better than Margaret, a sharp tongued wretch who loved the trappings and deference that went with being a member of the RF, and never having to do a days work in her lazy, pointless life."
Sharpes Eagle, Talavera,Six of one
bigjac20, Atlanta,It's a different world for the rich!
Yes but no but, City,What is the point of this article. Utter rubbish and a waste of time.
Shopper100, Derby,"He probably wasn't happy with her because she was a woman, from the article on here the other week that wasn't his preference "
Earth Mother, north wales,He had no preference.
Haglet, Cheltenham,He swung both ways.
jpaob, Claremorris,"I remember hearing that Princess Margaret once called Boy George, an over made up tart."
Haglet, Cheltenham,"Well, she should have known!"
ReadyFready, AnotherWorld,"She had a queen for a grandmother, mother, sister and husband."
Orest, Oakville,"I was never a fan of Princess Margaret.  While very beautiful, she didn't seem to have any normal survival instincts and just floundered her entire life.  Couldn't marry Peter Townsend and ended up marrying the worst kind of man possible.  She was a raging alcoholic, a heavy smoker and partier and from all accounts, a complete nightmare to work for.  Can't believe how different she was from her sister."
Theoldgirl, Pompy,"Perhaps if she had married her first love, things would have been different."
Earth Mother, north wales,Orest & Old girl. She CHOSE not to marry Townsend. She didn't want to give up her position. Says it all.
deb notts, nottingham,"Why call siblings of royalty "" spare "" , Judy asking for trouble ! Harry is the youngest child of the king , leave it at that ."
jpaob, Claremorris,Lord Snowdon was also a child of divorce. Now his son David has divorced. Some of these evils run in families.
Stanley Bunfluff, Manchester,Wonder if he took his boots off?
Realhull, Hull,"Mags had her fair share on that holiday island, and allegedly, there's pics to prove."
